Loci	ips
AA415398	4.38946
AA536717	6.17702
AA536749	4.60025
AA881470	5.69628
AA986860	3.0379
AB124611	3.68904
AF366264	2.66504
AF529169	4.64602
AI317395$2010001E11Rik	2.9022
AI427515	4.38141
AI428936	6.08436
AI429214	5.33067
AI451557	3.35726
AI451617$AI451617	3.3212
AI586015	2.75501
AI593442	3.46757
AI646023	3.15377
AI747448	2.256
AI747448$AI747448	2.44473
AI842396	5.11099
AI846148	6.52038
AI851790	3.55214
AI894139	5.8611
AI987944	6.57918
AK129341	5.17047
AK162044	4.67576
AK220484	5.43893
AU015228	3.4882
AU017455	4.51323
AU018829	5.75338
AU020772	6.70624
AU021034	4.38624
AU042651	3.76504
AV249152	3.85217
AW049604	5.35326
AW061290	4.73543
AW124722	5.48061
AW146242	5.09498
AW146299	4.69941
AW551984	4.29086
AY026312	3.88976
AY074887	3.18077
AY702102	2.50054
AY702103	3.86457
Aadac	3.86592
Aadat	4.41962
Aatk	5.42485
Abat	4.8962
Abca13	3.01356
Abca14	2.44649
Abca16	2.52562
Abca2	5.89134
Abca4	4.29877
Abca6	3.06051
Abca8a	3.301
Abca8b	3.80374
Abca9	3.80584
Abcb11	4.41754
Abcc10	5.22778
Abcc12	3.52716
Abcc3	4.35974
Abcc6	3.30102
Abcc8	4.47083
Abcc9	4.16309
Abcd2	3.01151
Abcg3	4.30676
Abcg5	3.25224
Abhd14b	5.66882
Abhd2	5.29384
Abhd3	4.57149
Abhd7	3.78667
Abhd9	4.99402
Abi3	5.50087
Abi3bp	2.47995
Abl1	7.08555
Ablim1	4.83654
Ablim2	5.61371
Ablim3	3.35208
Abo	3.40644
Abp1	4.9134
Abpb	2.67504
Abpd	2.78022
Abra	2.90984
Abtb2	5.28464
Accn1	4.26611
Accn3	3.16107
Accn4	4.61775
Accn5	3.09815
Ace2	3.82542
Ache	3.80199
Acot12	4.54951
Acot4	3.70992
Acot5	2.81682
Acot6	4.71932
Acox2	4.38706
Acox3	4.83909
Acoxl	4.94644
Acpl2	5.3356
Acpp	4.41657
Acr	5.00659
Acrbp	5.61272
Acrv1	3.51122
Acsbg1	4.88336
Acsbg2	4.8111
Acsl3	6.63163
Acsl6	4.85777
Acsm1	3.83235
Acsm2	4.17421
Acsm3	4.1127
Acss1	3.82327
Acta2	3.19437
Actc1	4.41151
Actl6b	3.39451
Actl7a	4.77245
Actrt1	4.43421
Actrt2	3.19784
Acvr1c	3.68187
Acvrl1	4.02233
Adad1	2.92567
Adam11	5.12025
Adam12	4.10497
Adam15	5.7214
Adam18	3.32568
Adam1a	4.94713
Adam1b	4.01753
Adam2	3.07867
Adam24	3.08746
Adam25	2.18216
Adam26a	2.86725
Adam28	3.74814
Adam3	3.1789
Adam32	3.0032
Adam33	5.02062
Adam34	2.6058
Adam5	2.32571
Adam7	3.98529
Adam8	5.10994
Adamdec1	3.75652
Adamts1	5.44012
Adamts12	3.51867
Adamts15	4.39018
Adamts18	2.84536
Adamts19	2.96245
Adamts2	5.43129
Adamts20	2.63756
Adamts3	3.00216
Adamts4	5.09455
Adamts5	4.65851
Adamts6	2.89851
Adamts7	5.05272
Adamtsl1	4.44523
Adamtsl5	5.53127
Adarb2	3.83432
Adat1	5.66679
Adck2	5.23352
Adck4	6.76816
Adcy1	4.54644
Adcy4	4.73019
Adcy5$Adcy5	3.91512
Adcy7	4.072
Adcy8	3.01949
Adcy9	5.17493
Adcyap1	3.5411
Adcyap1r1	5.24978
Add2	4.90585
Adh1	4.8863
