Loci	ips
Spam1	0
Spag8	0
Spag6	0
Spag16	0
Spag1	0
Spaca4	0
Spaca3	0
Spaca1	0
Spa17	0
Sp8	0
Sp5	0
Sp4	0
Sp100	0
Sox9	0
Sox8	0
Sox7	0
Sox6	0
Sox5	0
Sox30	0
Sox18	0
Sox1	0
Sostdc1	0
Sorcs2	0
Sorcs1	0
Sorbs2	0
Sohlh1	0
Sod3	0
Socs1	0
Sobp	0
Soat2	0
Snx26	0
Snx22	0
Snx21	0
Sntg2	0
Sntg1	0
Sntb1	0
Snf1lk	0
Sncg	0
Sncaip	0
Snca	0
Snapc5	0
Snap25	0
Smyd1	0
Smr2	0
Smpx	0
Smpdl3a	0
Smpd3	0
Smok3a	0
Smoc2	0
Smcp	0
Smarca2	0
Sln	0
Slmo1	0
Slitrk6	0
Slitrk5	0
Slitrk4	0
Slitrk3	0
Slitrk2	0
Slitrk1	0
Slfnl1	0
Slfn9	0
Slfn8	0
Slfn5	0
Slfn4$Slfn3	0
Slfn3$Slfn3	0
Slfn10	0
Slfn1	0
Slco6c1	0
Slco6b1	0
Slco5a1	0
Slco4c1	0
Slco3a1	0
Slco2a1	0
Slco1c1	0
Slco1b2	0
Slco1a6	0
Slco1a5	0
Slco1a4	0
Slco1a1	0
Slc9a9	0
Slc9a8	0
Slc9a5	0
Slc9a4	0
Slc9a3	0
Slc9a2	0
Slc8a3	0
Slc8a2	0
Slc8a1	0
Slc7a9	0
Slc7a8	0
Slc7a2	0
Slc7a15	0
Slc7a14	0
Slc7a13	0
Slc7a12	0
Slc7a11	0
Slc7a10	0
Slc6a5$LOC677366	0
Slc6a4	0
Slc6a3	0
Slc6a20	0
Slc6a2	0
Slc6a19	0
Slc6a18	0
Slc6a14	0
Slc6a13	0
Slc6a12	0
Slc6a11	0
Slc5a9	0
Slc5a8	0
Slc5a7	0
Slc5a6	0
Slc5a5	0
Slc5a4a	0
Slc5a3	0
Slc5a12	0
Slc5a1	0
Slc4a9	0
Slc4a8	0
Slc4a4	0
Slc4a3	0
Slc4a10	0
Slc4a1	0
Slc46a3	0
Slc46a2	0
Slc44a3	0
Slc43a2	0
Slc41a2	0
Slc40a1	0
Slc3a1	0
Slc39a8	0
Slc39a5	0
Slc39a2	0
Slc39a12	0
Slc37a2	0
Slc36a2	0
Slc35f4	0
Slc35f3	0
Slc35f1	0
Slc35e4	0
Slc35d3	0
Slc35d2	0
Slc35d1	0
Slc35a5	0
Slc34a3	0
Slc34a1	0
Slc30a8	0
Slc30a2	0
Slc30a10	0
Slc2a9	0
Slc2a6	0
Slc2a5	0
Slc2a4	0
Slc2a2	0
Slc2a13	0
Slc2a12	0
Slc2a10	0
Slc28a3	0
Slc27a5	0
Slc26a8	0
Slc26a7	0
Slc26a5	0
Slc26a4	0
Slc26a3	0
Slc26a2	0
Slc26a1	0
Slc25a45	0
Slc25a41	0
Slc25a35	0
Slc25a34	0
Slc25a29	0
Slc25a27	0
Slc25a23	0
Slc25a18	0
Slc24a3	0
Slc24a2	0
Slc24a1	0
Slc23a3	0
Slc23a1	0
Slc22a9	0
Slc22a8	0
Slc22a6	0
Slc22a4	0
Slc22a3	0
Slc22a21	0
Slc22a2	0
Slc22a16	0
Slc22a14	0
Slc22a1	0
Slc1a7	0
Slc1a6	0
Slc1a3	0
Slc1a2	0
Slc1a1	0
Slc19a3	0
Slc18a3	0
Slc18a2	0
Slc18a1	0
Slc17a7	0
Slc17a6	0
Slc17a3	0
Slc17a2	0
Slc17a1	0
Slc16a9	0
Slc16a7	0
Slc16a5	0
Slc16a4	0
Slc16a14	0
Slc16a13	0
Slc16a12	0
Slc16a11	0
Slc16a10	0
Slc15a3	0
Slc15a1	0
Slc14a2	0
Slc14a1	0
Slc13a4	0
Slc13a3	0
Slc13a2	0
Slc13a1	0
Slc12a8	0
Slc12a5	0
Slc12a3	0
Slc12a1	0
Slc11a1	0
Slc10a4	0
Slc10a2	0
Slc10a1	0
Slamf8	0
Slamf7	0
Slamf6	0
Slamf1	0
Sla2	0
Sla	0
Skap1	0
Six6	0
Six5	0
Six3$E130112M24Rik	0
Sit1	0
Sirpa	0
Sim2	0
Sim1	0
Siglecg	0
Siglece	0
Siglec5	0
Siglec1	0
Sidt1	0
Shroom1	0
Shox2	0
Shh	0
She	0
Shd	0
Shc4	0
Shc3	0
Shbg	0
Sh3tc2	0
Sh3rf2	0
Sh3rf1	0
Sh3pxd2a	0
Sh3px3	0
Sh3md4	0
Sh3bp5	0
Sh3bp2	0
Sh2d5	0
Sh2d4b	0
Sh2b2	0
Sgsh	0
Sgpp2	0
Sgpp1	0
Sgms2	0
Sgip1$Ccrn4l	0
Sgcg	0
Sgcd	0
Sgca	0
Sfxn5	0
Sfxn4	0
Sftpd	0
Sftpc	0
Sftpa1	0
Sfi1	0
Sez6l2	0
Sez6l	0
Serpini1	0
Serpind1	0
Serpinc1	0
Serpinb9g$OTTMUSG00000000724	0
Serpinb9d	0
Serpinb9c	0
Serpinb9	0
Serpinb7	0
Serpinb6b	0
Serpinb5	0
Serpinb3b	0
Serpinb2	0
Serpinb1b	0
Serpinb12	0
Serpinb11	0
Serpina9	0
Serpina7	0
Serpina6	0
Serpina5	0
Serpina3n	0
Serpina3k	0
Serpina3g	0
Serpina3c	0
Serpina1f	0
Serpina12	0
Serhl	0
Senp7	0
Senp5	0
Sema6d	0
Sema6b	0
Sema6a	0
Sema5a	0
Sema3g	0
Sema3f	0
Sema3d$LOC100044160	0
Sema3b	0
Selplg	0
Selp	0
Sell	0
Sele	0
Sel1l2	0
Sectm1b	0
Sectm1a	0
Sec16b	0
Sec1	0
Sebox	0
Sdro	0
Sdk2	0
Sdk1	0
Sdccag8	0
Scx	0
Scube2	0
Scrt1	0
Scrg1	0
Sco1	0
Scnn1g	0
Scnn1b	0
Scn9a	0
Scn8a	0
Scn7a	0
Scn5a	0
Scn4b	0
Scn4a	0
Scn3b	0
Scn3a	0
Scn2b	0
Scn2a1	0
Scn1a	0
Scn11a	0
Scn10a	0
Scml4	0
Scin	0
Scgb3a2	0
Scgb3a1	0
Scgb1a1	0
Scg5	0
Scg2	0
Scfd2	0
Scel	0
Scarf1	0
Scara5	0
Scara3	0
Sbno2	0
Saps2	0
Samsn1$Caps2	0
Samd7	0
Samd5	0
Samd4	0
Samd14	0
Samd12	0
Samd11	0
Samd10	0
Sall2	0
Sag	0
Sacy	0
Saa4	0
Saa1	0
S3-12	0
S100g	0
S100b	0
S100a9	0
S100a5	0
S100a3	0
S100a14	0
S100a1	0
Ryr3	0
Ryr2	0
Ryr1	0
Rxfp2	0
Rxfp1	0
Rwdd3	0
Rutbc2	0
Runx3	0
Runx2	0
Runx1t1	0
Runx1	0
Rufy3	0
Rufy2	0
Rtp4	0
Rtp3	0
Rtn4rl1	0
Rtn4ip1	0
Rtbdn	0
Rspo4	0
Rspo3	0
Rshl1	0
Rsad2	0
Rsad1	0
Rs1	0
Rrh	0
Rrad	0
Rptn	0
Rps6ka5	0
Rps20$LOC100043278	0
Rps15a	0
Rprml	0
Rpl41$2210411K19Rik	0
Rpl3l	0
Rpl21$EG433125	0
Rph3al	0
Rph3a	0
Rpe65	0
Rp1l1	0
Rp1h	0
Ros1	0
Rorc	0
Rorb	0
Rora	0
Ror1	0
Ropn1l	0
Rom1	0
Robo2	0
Rnpc3	0
Rnf43	0
Rnf39	0
Rnf32	0
Rnf24	0
Rnf207	0
Rnf190	0
Rnf186	0
Rnf183	0
Rnf182	0
Rnf180	0
Rnf151	0
Rnf135	0
Rnf133	0
Rnf122	0
Rnasel	0
Rnase6	0
Rnase10	0
Rnase1	0
Rln1	0
Rlbp1l2	0
Rlbp1l1	0
Rlbp1	0
Rit2	0
Ripply3	0
Ripply2	0
Ripk4	0
Rint1	0
Rin3	0
Rims4	0
Rims3	0
Rims2	0
Rimbp2	0
Rilp	0
Ric3	0
Rhpn1	0
Rhov	0
Rhoh	0
Rhof	0
Rhobtb1	0
Rhoa	0
Rho	0
Rhcg	0
Rhbdl3	0
Rhbdl2	0
Rhbdl1	0
Rhag	0
Rgs9bp	0
Rgs8	0
Rgs7bp	0
Rgs7	0
Rgs6	0
Rgs5	0
Rgs4	0
Rgs20	0
Rgs2	0
Rgs18	0
Rgs17	0
Rgs13	0
Rgs11	0
Rgs1	0
Rgr	0
Rgnef	0
Rgn	0
Rgmb	0
Rgma	0
Rgl3	0
Rgl1	0
Rgag4	0
Rfxank	0
Rfx4	0
Rftn2	0
Rfpl4	0
Retnlb	0
Retnla	0
Ret	0
Resp18	0
Rerg	0
Reps2	0
Rem2	0
Rem1	0
Reln	0
Rell2	0
Rel	0
Reg4	0
Reg3g	0
Reg3d	0
Reg3a	0
Reg1	0
Reep2	0
Reep1	0
Recql5	0
Rdh7	0
Rdh5	0
Rdh16	0
Rdh12	0
Rdh1	0
Rcvrn	0
Rcor3	0
Rcn2	0
Rcan2	0
Rbpjl	0
Rbp7	0
Rbp3	0
Rbp2	0
Rbms3	0
Rbm4b	0
Rbm12b	0
Rbm11	0
Rbks	0
Rax	0
Rassf6	0
Rassf5	0
Rassf4	0
Rassf2	0
Rasl12	0
Rasl11a	0
Rasl10a	0
Rasip1	0
Rasgrp3	0
Rasgrp1	0
Rasgrf2	0
Rasgrf1	0
Rasgef1c	0
Rasef	0
Rasal1	0
Rarres2	0
Rarb	0
Rapsn	0
Rapgef4	0
Rapgef3	0
Ranbp6	0
Ranbp3l	0
Ramp1	0
Ralgps1	0
Rai2	0
Rag2	0
Rag1	0
Rad9b	0
Rad51l1	0
Rac2	0
Rabif	0
Rabgap1l	0
Rab9b	0
Rab6b	0
Rab5b	0
Rab43	0
Rab40b	0
Rab3il1	0
Rab3c$LOC100044883	0
Rab39	0
Rab37	0
Rab36	0
Rab33a	0
Rab27b	0
Rab27a	0
Rab25	0
Rab20	0
Rab19	0
Rab17	0
Rab11fip4	0
Rab11fip1	0
RP23-395H4.4	0
RP23-357I14.1	0
RP23-336F11.32	0
RP23-304I1.2	0
RP23-25C1.8	0
RP23-24J10.7	0
RP23-244H7.9	0
RP23-233B9.8	0
RP23-157O10.7$LOC100047169	0
Qrich2	0
Qpctl	0
Pyy	0
Pygo1	0
Pygm	0
Pygl	0
Pxt1	0
Pvrl4	0
Pvrl1	0
Pvalb	0
Ptx3	0
Ptprz1	0
Ptpru	0
Ptprt	0
Ptprr	0
Ptpro	0
Ptpre	0
Ptprd	0
Ptprc	0
Ptprb	0
Ptpn5	0
Ptpn4	0
Ptpn22	0
Ptpn20	0
Ptpn13	0
Ptpdc1	0
Ptk6	0
Pthr2	0
Pthr1	0
Pthlh	0
Pth	0
Ptgir	0
Ptgfr	0
Ptger4	0
Ptger3	0
Ptger2	0
Ptgds2	0
Ptf1a	0
Ptcra	0
Ptchd2	0
Ptchd1	0
Ptafr	0
Pstpip2	0
Pstpip1	0
Pspn	0
Psp	0
Psors1c2	0
Psmb8	0
Psg28	0
Psg21	0
Psg19	0
Psg17	0
Psg16	0
Psd4	0
Psd3	0
Psd2	0
Pscdbp	0
Pscd4	0
Pscd1	0
Psca	0
Psapl1	0
Prtn3	0
Prss8	0
Prss7	0
Prss35	0
Prss32	0
Prss28	0
Prss22	0
Prss21	0
Prrt3	0
Prrt1	0
Prrg2	0
Prr16	0
Prr15	0
Prps1l1	0
Prpmp5$EG114600	0
Prph2	0
Prp2	0
Proz	0
Prox2	0
Prox1	0
Prop1	0
Prom2	0
Prokr2	0
Prokr1	0
Prok2	0
Prodh2	0
Proc	0
Prnd	0
Prm3	0
Prlr	0
Prl8a9	0
Prl8a8	0
Prl8a6	0
Prl8a2	0
Prl8a1	0
Prl7d1	0
Prl7c1	0
Prl7b1	0
Prl7a2	0
Prl7a1	0
Prl6a1	0
Prl5a1	0
Prl4a1	0
Prl3c1	0
Prl3b1	0
Prl3a1	0
Prl2c2	0
Prl2b1	0
Prl2a1	0
Prl	0
Prkg1	0
Prkd2	0
Prkce	0
Prkag3	0
Prkag2	0
Prickle2	0
Prickle1	0
Prg3	0
Prg2	0
Prf1	0
Prdx6-rs1	0
Prdm8$LOC100045224	0
Prdm6	0
Prdm16	0
Prdm10	0
Prap1	0
Pramel7	0
Pramel6	0
Pramel1	0
Pram1	0
Pqlc1	0
